school_name,district_name,enrollment11,num_testtakers11,num_erwbenchmark11,pct_erwbenchmark11,num_mathbenchmark11,pct_mathbenchmark11,total_num_bothbenchmark11,pct_bothbenchmark11
Belmont Senior High,Los Angeles Unified,219.0,174.0,42.0,24.14,12.0,6.9,11.0,6.32
Canoga Park Senior High,Los Angeles Unified,333.0,275.0,97.0,35.27,37.0,13.45,35.0,12.73
Foshay Learning Center,Los Angeles Unified,187.0,183.0,91.0,49.73,47.0,25.68,44.0,24.04
New Open World Academy K-12,Los Angeles Unified,79.0,79.0,22.0,27.85,10.0,12.66,6.0,7.59
Corona High,Corona-Norco Unified,572.0,168.0,128.0,76.19,84.0,50.0,78.0,46.43
Central High,Los Angeles Unified,156.0,18.0,2.0,11.11,1.0,5.56,1.0,5.56
The O'Farrell Charter,San Diego Unified,127.0,114.0,77.0,67.54,47.0,41.23,47.0,41.23
University High School Charter,Los Angeles Unified,307.0,315.0,194.0,61.59,117.0,37.14,110.0,34.92
City of Angels,Los Angeles Unified,352.0,83.0,46.0,55.42,16.0,19.28,16.0,19.28
Lowell High,San Francisco Unified,711.0,565.0,560.0,99.12,546.0,96.64,543.0,96.11
San Diego Business/Leadership,San Diego Unified,139.0,17.0,11.0,64.71,3.0,17.65,3.0,17.65
Kearny Digital Media & Design,San Diego Unified,100.0,39.0,32.0,82.05,25.0,64.1,23.0,58.97
Esteban Torres East LA Performing Arts Magnet,Los Angeles Unified,113.0,100.0,40.0,40.0,8.0,8.0,8.0,8.0
Arroyo Valley High,San Bernardino City Unified,631.0,554.0,209.0,37.73,91.0,16.43,85.0,15.34
Middle College High,San Bernardino City Unified,70.0,67.0,55.0,82.09,44.0,65.67,41.0,61.19
Cesar E. Chavez Learning Academies-Arts/Theatre/Entertain Mag,Los Angeles Unified,100.0,89.0,43.0,48.31,18.0,20.22,15.0,16.85
El Camino Fundamental High,San Juan Unified,352.0,120.0,106.0,88.33,75.0,62.5,72.0,60.0
Point Loma High,San Diego Unified,480.0,238.0,212.0,89.08,180.0,75.63,174.0,73.11
Alliance Gertz-Ressler Richard Merkin 6-12 Complex,Los Angeles Unified,132.0,127.0,79.0,62.2,57.0,44.88,48.0,37.8
Port of Los Angeles High,Los Angeles Unified,241.0,77.0,66.0,85.71,62.0,80.52,59.0,76.62
